§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
140.8	0.3774	140.8	0.3799	140.8	0.3805	140.8	0.3806
147.2	0.3621	147.2	0.3645	147.2	0.3651	147.2	0.3653
153.6	0.3476	153.6	0.3498	153.6	0.3504	153.6	0.3509
160	0.3336	160	0.3358	160	0.3364	160	0.337
166.4	0.3204	166.4	0.3226	166.4	0.3228	166.4	0.3238
172.8	0.3078	172.8	0.3098	172.8	0.31	172.8	0.3111
179.2	0.2957	179.2	0.2975	179.2	0.2977	179.2	0.2989
185.6	0.2842	185.6	0.2857	185.6	0.2861	185.6	0.2874
192	0.2733	192	0.2742	192	0.275	192	0.2762
198.4	0.2628	198.4	0.2635	198.4	0.2642	198.4	0.2657
204.8	0.2528	204.8	0.2532	204.8	0.2542	204.8	0.2557
217.6	0.2339	217.6	0.234	217.6	0.2352	217.6	0.2368
230.4	0.2163	230.4	0.2159	230.4	0.2175	230.4	0.219
243.2	0.2	243.2	0.1993	243.2	0.2012	243.2	0.2024
256	0.1848	256	0.1838	256	0.1862	256	0.1872
268.8	0.1709	268.8	0.1696	268.8	0.1725	268.8	0.1732
281.6	0.158	281.6	0.1566	281.6	0.16	281.6	0.1605
294.4	0.1465	294.4	0.1446	294.4	0.1484	294.4	0.1489
307.2	0.1359	307.2	0.1335	307.2	0.1376	307.2	0.1383
320	0.1262	320	0.1233	320	0.1276	320	0.1285
332.8	0.1172	332.8	0.1139	332.8	0.1183	332.8	0.1194
345.6	0.1089	345.6	0.1051	345.6	0.1097	345.6	0.1109
358.4	0.1012	358.4	0.09703	358.4	0.102	358.4	0.103
371.2	0.09432	371.2	0.08956	371.2	0.09478	371.2	0.09571
384	0.08792	384	0.08274	384	0.0883	384	0.08909
396.8	0.08198	396.8	0.07643	396.8	0.08219	396.8	0.08298
409.6	0.07647	409.6	0.07088	409.6	0.0767	409.6	0.07755
435.2	0.06689	435.2	0.06109	435.2	0.06666	435.2	0.06791
460.8	0.05848	460.8	0.05261	460.8	0.05778	460.8	0.0595
486.4	0.05135	486.4	0.04543	486.4	0.05004	486.4	0.05218
